RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
3914.9,8921.88,38610,10000,1.39,2811.8,-551.666,-9.06169,293.353
3943.01,8916.39,38600,10000,1.4,2811.7,-548.739,-9.09797,292.699
3971.13,8910.94,38590,10000,1.41,2811.61,-545.819,-9.13391,292.046
3999.24,8905.51,38580,10000,1.42,2811.52,-542.905,-9.1695,291.393
4027.36,8900.11,38570,10000,1.43,2811.43,-539.998,-9.20474,290.742
4055.47,8894.74,38560,10000,1.44,2811.34,-537.097,-9.23964,290.091
4083.58,8889.39,38550,10000,1.45,2811.24,-534.202,-9.27419,289.441
4111.7,8884.08,38540,10000,1.46,2811.15,-531.314,-9.3084,288.792
4139.81,8878.8,38530,10000,1.47,2811.06,-528.433,-9.34227,288.143
4167.92,8873.54,38520,10000,1.48,2810.96,-525.558,-9.3758,287.496
4196.03,8868.31,38510,10000,1.49,2810.87,-522.689,-9.40899,286.849
4224.13,8863.11,38500,10000,1.5,2810.78,-519.827,-9.44184,286.204
4252.24,8857.95,38490,10000,1.51,2810.68,-516.972,-9.47436,285.558
4280.35,8852.8,38480,10000,1.52,2810.59,-514.123,-9.50654,284.914
4308.45,8847.69,38470,10000,1.53,2810.49,-511.28,-9.5384,284.271
4336.55,8842.61,38460,10000,1.54,2810.39,-508.444,-9.56991,283.628
4364.66,8837.55,38450,10000,1.55,2810.3,-505.614,-9.6011,282.987
4392.76,8832.52,38440,10000,1.56,2810.2,-502.79,-9.63197,282.346
4420.86,8827.52,38430,10000,1.57,2810.11,-499.973,-9.6625,281.706
4448.96,8822.55,38420,10000,1.58,2810.01,-497.163,-9.69271,281.066
4477.06,8817.61,38410,10000,1.59,2809.91,-494.358,-9.72259,280.428
4505.16,8812.69,38400,10000,1.6,2809.81,-491.56,-9.75215,279.79
4533.26,8807.8,38390,10000,1.61,2809.72,-488.769,-9.78138,279.153
4561.35,8802.94,38380,10000,1.62,2809.62,-485.984,-9.8103,278.517
4589.45,8798.11,38370,10000,1.63,2809.52,-483.205,-9.8389,277.882
4617.54,8793.31,38360,10000,1.64,2809.42,-480.432,-9.86718,277.247
